Tube.ID,unknwn,Box.position,Storage.Box.ID
231,,I5,Sam Gurr 2019 Thresholds Geoduck BOX #1
236,,B2,Sam Gurr 2019 Thresholds Geoduck BOX #1
243,,A9,Sam Gurr 2019 Thresholds Geoduck BOX #1
244,,D8,Sam Gurr 2019 Thresholds Geoduck BOX #1
265,,B9,Sam Gurr 2019 Thresholds Geoduck BOX #1
266,,I9,Sam Gurr 2019 Thresholds Geoduck BOX #1
290,,I1,Sam Gurr 2019 Thresholds Geoduck BOX #1
293,,H1,Sam Gurr 2019 Thresholds Geoduck BOX #1
298,,B3,Sam Gurr 2019 Thresholds Geoduck BOX #1
299,,A1,Sam Gurr 2019 Thresholds Geoduck BOX #1
304,,A4,Sam Gurr 2019 Thresholds Geoduck BOX #1
314,,F2,Sam Gurr 2019 Thresholds Geoduck BOX #1
352,,F3,Sam Gurr 2019 Thresholds Geoduck BOX #1
357,,H7,Sam Gurr 2019 Thresholds Geoduck BOX #1
359,,A8,Sam Gurr 2019 Thresholds Geoduck BOX #1
373,,E7,Sam Gurr 2019 Thresholds Geoduck BOX #1
377,,E4,Sam Gurr 2019 Thresholds Geoduck BOX #1
396,,B8,Sam Gurr 2019 Thresholds Geoduck BOX #1
399,,I3,Sam Gurr 2019 Thresholds Geoduck BOX #1
410,,H3,Sam Gurr 2019 Thresholds Geoduck BOX #1
420,,C4,Sam Gurr 2019 Thresholds Geoduck BOX #1
421,,D6,Sam Gurr 2019 Thresholds Geoduck BOX #1
427,,A2,Sam Gurr 2019 Thresholds Geoduck BOX #1
428,,D7,Sam Gurr 2019 Thresholds Geoduck BOX #1
442,,B4,Sam Gurr 2019 Thresholds Geoduck BOX #1
446,,E6,Sam Gurr 2019 Thresholds Geoduck BOX #1
448,,E3,Sam Gurr 2019 Thresholds Geoduck BOX #1
487,,H8,Sam Gurr 2019 Thresholds Geoduck BOX #1
519,,C8,Sam Gurr 2019 Thresholds Geoduck BOX #1
523,,C5,Sam Gurr 2019 Thresholds Geoduck BOX #1
530,,H4,Sam Gurr 2019 Thresholds Geoduck BOX #1
539,,C1,Sam Gurr 2019 Thresholds Geoduck BOX #1
543,,G9,Sam Gurr 2019 Thresholds Geoduck BOX #1
544,,F7,Sam Gurr 2019 Thresholds Geoduck BOX #1
545,,B6,Sam Gurr 2019 Thresholds Geoduck BOX #1
546,,E8,Sam Gurr 2019 Thresholds Geoduck BOX #1
549,,F8,Sam Gurr 2019 Thresholds Geoduck BOX #1
555,,F9,Sam Gurr 2019 Thresholds Geoduck BOX #1
573,,I4,Sam Gurr 2019 Thresholds Geoduck BOX #1
578,,H9,Sam Gurr 2019 Thresholds Geoduck BOX #1
643,,C7,Sam Gurr 2019 Thresholds Geoduck BOX #1
663,,B5,Sam Gurr 2019 Thresholds Geoduck BOX #1
686,,E2,Sam Gurr 2019 Thresholds Geoduck BOX #1
688,,A3,Sam Gurr 2019 Thresholds Geoduck BOX #1
699,,H2,Sam Gurr 2019 Thresholds Geoduck BOX #1
1300,,C9,Sam Gurr 2019 Thresholds Geoduck BOX #10
750,,A3,Sam Gurr 2019 Thresholds Geoduck BOX #10
760,,A4,Sam Gurr 2019 Thresholds Geoduck BOX #10
762,,D3,Sam Gurr 2019 Thresholds Geoduck BOX #10
