"Date","Treatment","rel.resp.COUNT","rel.resp.MEAN.LENGTH"
20190804,"EHM",-1.5442563425034,-0.607206038426435
20190804,"EHS",0.161715881317074,0.123179173440075
20190804,"EHM",-1.59872922824699,-0.455116536779385
20190804,"EHM",-0.417041370261566,-0.105406324519075
20190804,"EHS",-2.44808547873053,-0.920410674526725
20190804,"EHM",-2.23441558141461,-0.838056910190795
20190804,"EHS",1.65476494240238,1.04838706360962
20190804,"EHS",-2.59659990168926,-0.788316043060925
20190804,"EHS",0.457431089292605,0.196680114173295
20190804,"EHM",-1.78598588082553,-0.786448559267495
20190804,"EHM",-2.81748654328069,-1.10434589732909
20190804,"EHS",-4.67716098901897,-1.77668598360093
20190807,"AHM",1.22345891292184,0.323146029757808
20190807,"AHM",-1.68635791484404,-0.850546714226822
20190807,"AHM",-4.00121005250162,-1.41789216227127
