"Date","RUN","SDR_position","Lpc","Leq","Lz","alpha"
"20190728","1","D6",-3.657992597,-3.7188358,-3.694377941,0.4
"20190728","2","A1",-4.163468813,-4.209596175,-4.173857826,0.4
"20190728","2","B1",-2.407463415,-2.444779516,-2.444779516,0.4
"20190728","2","C1",-0.816669974,-0.594804064,-0.631537703,0.4
"20190728","2","D1",-3.181992795,-2.863227924,-2.863227924,0.4
"20190728","2","A2",-3.320397465,-3.196983673,-3.196983673,0.4
"20190728","2","B2",-2.403403056,-2.413117409,-2.413117409,0.4
"20190728","2","C2",-2.69207375,-2.920145855,-2.920145855,0.4
"20190728","2","D2",-3.240148888,-3.423283302,-3.458404639,0.4
"20190728","2","A3",-2.839304081,-2.840161943,-2.840161943,0.4
"20190728","2","B3",-2.211977486,-2.284030346,-2.284030346,0.4
"20190728","2","C3",-1.411490015,-1.217818872,-1.62647587,0.4
"20190728","2","D3",-2.895427766,-2.931683794,-2.931683794,0.4
"20190728","2","A4",-3.748027768,-2.571885714,-2.880891418,0.4
"20190728","2","B4",-2.74547753,-2.777220647,-2.777220647,0.4
"20190728","2","D4",-0.375477551,-0.353693694,-0.353693694,0.4
"20190728","2","A5",-2.938661851,-2.88294775,-2.825547653,0.4
"20190728","2","B5",-2.637991903,-2.612081555,-2.612081555,0.4
"20190728","2","C5",-0.243482176,-0.236087099,-0.2573395,0.4
"20190728","2","D5",-2.263208884,-2.195562758,-2.195562758,0.4
"20190728","2","A6",-0.63084238,-0.955582805,-0.655370028,0.4
"20190728","2","B6",-0.588640576,-0.613700405,-0.613700405,0.4
"20190728","2","C6",NA,-2.109540066,-2.109540066,0.4
"20190728","2","D6",-3.943765666,-3.721268293,-3.721268293,0.4
"20190731","1","A1",-3.16579044798223,-3.14464524948735,-3.14464524948735,0.4
"20190731","1","B1",-4.22580474597866,-3.99963800904978,-3.99963800904978,0.4
"20190731","1","C1",-3.67410939926955,-3.67410939926955,-3.74662812210916,0.4
"20190731","1","D1",-3.26324141267538,-1.93510204081633,-1.93510204081633,0.4
"20190731","1","A2",-0.786846846846846,-0.772121036722623,-0.772121036722623,0.4
"20190731","1","B2",-0.694454358270417,-0.337459233330489,-0.681500875935663,0.4
"20190731","1","C2",-0.656748264523202,-0.613990133897116,-0.613990133897116,0.4
"20190731","1","D2",-2.97747959503183,-3.0543818085669,-3.0543818085669,0.4
"20190731","1","A3",-2.9947303710782,-2.9947303710782,-2.9947303710782,0.4
"20190731","1","B3",-2.46072246411869,-2.37553869873574,-2.37553869873574,0.4
"20190731","1","C3",-4.71709814853776,-5.01383868762817,-5.02427705627706,0.4
"20190731","1","D3",-4.07256108597285,-4.04361001317523,-4.04361001317523,0.4
"20190731","1","A4",-3.09023663871565,-3.09084524452445,-3.08580903373356,0.4
"20190731","1","B4",-3.31576326530612,-1.8092666268249,-1.8092666268249,0.4
"20190731","1","C4",-3.1136801982085,-3.11857119819384,-3.11857119819384,0.4
"20190731","1","D4",-2.67905145929339,-2.82823316218665,-2.82823316218665,0.4
"20190731","1","A5",-4.50023951048951,-4.62964828484586,-4.59758985200846,0.4
"20190731","1","B5",-2.43793657505285,-2.97319631093545,-2.01236879432624,0.4
"20190731","1","C5",-2.47465135604744,-2.47465135604744,-2.47465135604744,0.4
"20190731","1","D5",-0.746994477791116,-0.776375717305952,-0.776375717305952,0.4
"20190731","1","A6",-0.686311753264799,-0.609628458498025,-0.609628458498025,0.4
"20190731","1","B6",-0.677116926770704,-0.749848979591837,-0.768318534178996,0.4
"20190731","1","C6",-4.19013676212741,-4.22168701442841,-4.21342624434389,0.4
"20190731","1","D6",-4.28924415356373,-4.50151094665433,-4.50151094665433,0.4
"20190731","2","A1",-0.818459930313598,-0.853966517124416,-0.853966517124416,0.4
"20190731","2","B1",-4.37203007518797,-3.19608963585434,-3.19608963585434,0.4
"20190731","2","C1",-3.61150684931507,-3.47673779042199,-3.47673779042199,0.4
"20190731","2","D1",-2.83388163199484,-2.7952582972583,-2.7952582972583,0.4
"20190731","2","A2",-2.94842582417582,-2.68239775910363,-2.63426126814361,0.4
"20190731","2","B2",-5.21638866396761,-5.27672829131652,-5.29247364400305,0.4
"20190731","2","C2",-3.53755347091932,-3.51984681037313,-3.51984681037313,0.4
"20190731","2","D2",-3.9979325915175,-3.0362840573367,-4.15065908013277,0.4
"20190731","2","A3",-2.9619512195122,-3.07732574679943,-3.07732574679943,0.4
"20190731","2","B3",-1.05392307692308,-1.05692012288787,-1.14608494208493,0.4
"20190731","2","C3",-3.78415774099318,-3.78415774099318,-5.13138417769997,0.4
"20190731","2","D3",-2.98870181930311,-2.99889855072464,-2.99889855072464,0.4
"20190731","2","A4",-0.572169514695838,-0.623849436481025,-0.623849436481025,0.4
"20190731","2","B4",-0.835176651305685,-0.811393728222997,-0.811393728222997,0.4
"20190731","2","C4",-3.79970664629487,-3.44838095238096,-3.44838095238096,0.4
"20190731","2","D4",-2.60628893587033,-2.60287054409006,-2.60287054409006,0.4
"20190731","2","A5",-1.39583324214904,-1.27866666666667,-1.27866666666667,0.4
"20190731","2","B5",-3.72025783972125,-3.72799388846448,-3.72799388846448,0.4
"20190731","2","C5",-3.37889995258417,-3.31267226890756,-3.31267226890756,0.4
"20190731","2","D5",-5.33341414141414,-5.50747913459201,-5.50747913459201,0.4
"20190731","2","A6",-4.32568854568854,-4.32568854568854,-4.32568854568854,0.4
"20190731","2","B6",-4.61755364970459,-4.48495238095238,-4.48495238095238,0.4
"20190731","2","C6",-0.924104298801972,-0.986965250965253,-0.986965250965253,0.4
"20190731","2","D6",-3.53010073260074,-3.60223376623377,-3.60223376623377,0.4
