"datehour","Treatment","days","mean.temp","se.temp","mean.ph","se.ph"
"2019-07-06 19:00:00","MODERATE_tank",0,16.1,0,7.38,0
"2019-07-06 19:00:00","SEVERE_conical",0,15.1333333333333,0.0210818510677891,6.815,0.00223606797749994
"2019-07-06 19:00:00","SEVERE_tank",0,15.9,0,7.15166666666667,0.00307318148576434
"2019-07-06 20:00:00","AMBIENT_conical",0,15.3166666666667,0.0166666666666666,7.79,0
"2019-07-06 20:00:00","MODERATE_conical",0,15.45,0.0223606797749978,7.095,0.00223606797749974
"2019-07-06 20:00:00","MODERATE_tank",0,16.1666666666667,0.0210818510677887,7.38,0
"2019-07-06 20:00:00","SEVERE_conical",0,15.2333333333333,0.0210818510677895,6.81166666666667,0.00307318148576439
"2019-07-06 20:00:00","SEVERE_tank",0,16,0,7.155,0.00223606797749974
"2019-07-06 21:00:00","AMBIENT_conical",0,15.4,0,7.79,0
"2019-07-06 21:00:00","MODERATE_conical",0,15.5,0,7.09833333333333,0.00307318148576434
"2019-07-06 21:00:00","MODERATE_tank",0,16.2,0,7.38,0
"2019-07-06 21:00:00","SEVERE_conical",0,15.3,0,6.81166666666667,0.00307318148576439
"2019-07-06 21:00:00","SEVERE_tank",0,16,0,7.16166666666667,0.00166666666666663
"2019-07-06 22:00:00","AMBIENT_conical",0,15.5,0,7.79,0
"2019-07-06 22:00:00","MODERATE_conical",0,15.5,0,7.09833333333333,0.00401386485959752
"2019-07-06 22:00:00","MODERATE_tank",0,16.2,0,7.37666666666667,0.00210818510677887
"2019-07-06 22:00:00","SEVERE_conical",0,15.3,0,6.81333333333333,0.0049441323247305
"2019-07-06 22:00:00","SEVERE_tank",0,16,0,7.155,0.00223606797749974
"2019-07-06 23:00:00","AMBIENT_conical",0,15.5,0,7.79,0
"2019-07-06 23:00:00","MODERATE_conical",0,15.5,0,7.09833333333333,0.00401386485959752
"2019-07-06 23:00:00","MODERATE_tank",0,16.2,0,7.37333333333333,0.00210818510677887
"2019-07-06 23:00:00","SEVERE_conical",0,15.3,0,6.815,0.00223606797749994
"2019-07-06 23:00:00","SEVERE_tank",0,16,0,7.15,0
"2019-07-07 00:00:00","AMBIENT_conical",1,15.5,0,7.79,0
"2019-07-07 00:00:00","MODERATE_conical",1,15.5,0,7.09833333333333,0.00166666666666663
"2019-07-07 00:00:00","MODERATE_tank",1,16.15,0.0223606797749974,7.37,0
"2019-07-07 00:00:00","SEVERE_conical",1,15.3,0,6.81166666666667,0.00477260702109217
"2019-07-07 00:00:00","SEVERE_tank",1,16,0,7.15833333333333,0.00307318148576423
"2019-07-07 01:00:00","AMBIENT_conical",1,15.5,0,7.78,0
"2019-07-07 01:00:00","MODERATE_conical",1,15.5,0,7.1,0.00258198889747167
"2019-07-07 01:00:00","MODERATE_tank",1,16.1,0,7.375,0.00223606797749974
"2019-07-07 01:00:00","SEVERE_conical",1,15.3,0,6.81,0.00516397779494328
"2019-07-07 01:00:00","SEVERE_tank",1,15.9666666666667,0.0210818510677891,7.165,0.00223606797749974
"2019-07-07 02:00:00","AMBIENT_conical",1,15.4333333333333,0.0210818510677891,7.77666666666667,0.00210818510677906
"2019-07-07 02:00:00","MODERATE_conical",1,15.5,0,7.09666666666667,0.00333333333333338
"2019-07-07 02:00:00","MODERATE_tank",1,16.1,0,7.37,0
"2019-07-07 02:00:00","SEVERE_conical",1,15.3,0,6.815,0.00341565025531997
"2019-07-07 02:00:00","SEVERE_tank",1,15.85,0.0223606797749978,7.19,0.00632455532033681
"2019-07-07 03:00:00","AMBIENT_conical",1,15.4,0,7.77,0
"2019-07-07 03:00:00","MODERATE_conical",1,15.4333333333333,0.0210818510677891,7.09666666666667,0.00333333333333338
"2019-07-07 03:00:00","MODERATE_tank",1,16.0333333333333,0.0210818510677895,7.37333333333333,0.00210818510677887
"2019-07-07 03:00:00","SEVERE_conical",1,15.25,0.0223606797749982,6.815,0.00223606797749994
"2019-07-07 03:00:00","SEVERE_tank",1,15.8,0,7.205,0.00670820393249945
"2019-07-07 04:00:00","AMBIENT_conical",1,15.3666666666667,0.0210818510677891,7.76166666666667,0.00166666666666663
"2019-07-07 04:00:00","MODERATE_conical",1,15.4,0,7.09833333333333,0.00307318148576434
"2019-07-07 04:00:00","MODERATE_tank",1,16,0,7.37,0
"2019-07-07 04:00:00","SEVERE_conical",1,15.2,0,6.81333333333333,0.00210818510677906
"2019-07-07 04:00:00","SEVERE_tank",1,15.8,0,7.205,0.00341565025531979
